2016-01-01|4638|9148|5294|14393|11720|11602|13054|11594|6685|1|7583|41970
2016-01-02|11684|32897|19095|36391|34471|28241|30842|15718|17468|26444|13001|127830
2016-01-03|5252|14504|8626|15960|16266|15145|14065|6946|7089|12097|8740|60847
2016-01-05|5897|16269|8746|18531|13342|14621|14748|11101|9028|10418|4118|56438
2016-01-06|5165|15637|7199|20445|13693|12392|14853|7038|8907|11113|4267|57487
2016-01-04|6373|18886|8852|19836|15819|17001|17752|6808|10219|13597|5277|67393
2016-01-07|5805|15286|7839|16586|14870|12713|13562|8177|8152|11027|4534|54906
2016-01-08|6340|17283|7853|22916|17202|14117|16018|6474|9208|12290|4963|64132
2016-01-09|10516|29169|14270|29823|27827|23334|24622|4601|15276|21613|9541|103806
2016-01-10|5614|14995|7425|21856|4703|12953|15768|8302|7978|12028|7364|56490
2016-01-11|6155|14932|6778|20784|12612|13324|13572|7018|7786|10149|3938|54218
2016-01-12|6331|14804|7305|16370|11617|12907|12759|8003|7448|9702|3934|49649
2016-01-13|6508|16256|7660|18247|13228|13611|15009|8045|7979|10129|4423|54512
2016-01-14|5949|16523|8614|24729|12458|12166|14947|8049|7696|10334|4556|52910
2016-01-15|7092|19817|10522|23037|14242|15187|14568|9857|8435|11838|5365|61146
2016-01-16|11266|32568|17445|33762|24572|24163|27972|14903|15015|22163|10035|106358
2016-01-17|4551|12655|7070|18176|9869|11803|13127|3559|5913|9142|6235|49055
2016-01-18|5273|14427|7342|16759|10056|11689|12685|5963|6990|8666|4009|46985
2016-01-19|5534|14456|7612|17684|9306|11666|12556|7393|6830|8605|3768|46219
2016-01-20|5705|15593|7768|24998|10813|10693|14784|7844|7493|9431|4483|54254
2016-01-21|4987|15433|7127|15348|10743|10792|11930|4653|6913|9155|4467|46351
2016-01-22|7109|19942|9784|25551|15048|13702|16448|9727|7831|10275|5782|61632
2016-01-23|9377|31249|15100|29879|28166|21194|25584|18908|14406|19340|10167|100404
2016-01-24|5773|14099|8973|22489|14483|11524|13951|5886|6487|9125|7097|55930
2016-01-25|5751|15092|7481|18140|14566|11307|12139|8666|7231|8240|4177|49992
2016-01-26|5774|14839|7326|18701|14288|10709|12569|2526|6021|7971|4061|48340
2016-01-27|6251|15805|7647|18604|15436|12008|12975|5136|7122|9161|4252|52291
2016-01-28|5776|17700|8181|18122|15612|12395|13617|10993|7832|9665|4440|53820
2016-01-29|8379|21014|10433|24558|18845|13608|17621|12272|8413|10699|6271|65210
2016-01-30|12057|33336|18766|42541|31663|23470|26864|16385|15638|22097|10488|115518
2016-01-31|6222|14444|9307|18279|15652|14399|15302|4655|6495|10066|8809|58937
2016-02-01|6236|14128|8275|23826|14340|11232|12593|9970|7142|8495|4114|52783
2016-02-02|6252|14300|8337|19125|14569|11476|12968|10820|7401|9545|4734|52977
2016-02-03|5805|15595|7986|22067|15731|12065|14804|9996|7786|9337|4124|56204
2016-02-04|5877|13855|7789|17857|14853|12259|13431|6702|7001|8717|4650|51598
2016-02-05|7247|19389|9405|21021|18684|14401|16469|5477|8669|10705|5501|62187
2016-02-06|10146|30615|17378|35661|28677|23966|25869|6747|13108|18905|10135|102317
2016-02-07|6924|17436|11199|29263|18605|14178|18022|9789|7328|11382|7595|69436
2016-02-08|5628|12283|7241|15302|13342|12639|10801|3222|6336|8056|3939|45714
2016-02-09|5991|13700|7508|20175|14421|12106|13576|7986|7295|9066|4176|52396
2016-02-10|6701|15597|8969|25797|17040|12322|15585|12134|8295|10012|4665|61045
2016-02-11|6125|15298|7981|20225|15451|12092|15460|10160|8202|10127|4690|57056
2016-02-12|7800|20894|10359|24826|20021|15788|20143|12154|9791|12369|6562|72077
2016-02-13|10359|30745|17717|37244|30835|21404|29389|17954|14605|21176|10748|111071
2016-02-14|7462|16663|11808|29899|18463|12807|18568|10593|7071|10275|8151|69140
2016-02-15|8310|21217|14394|37411|22701|16873|21965|14092|10588|13314|7444|85385
2016-02-16|8952|23112|12798|29715|22337|17986|19676|13197|10317|13404|7239|78967
2016-02-17|8596|21755|11781|27230|20841|18031|18757|11640|9115|12749|7407|74846
2016-02-18|8130|22903|12981|36371|23483|17396|21457|13690|11634|14177|7807|87033
2016-02-19|8765|25615|12461|31269|24862|18096|22804|8251|11163|15341|8721|87301
2016-02-20|9767|27042|16304|31373|27030|21717|23403|9518|11613|18824|10113|95677
2016-02-21|5419|13340|8139|20907|15223|11104|14159|2497|5748|8797|7217|54505
2016-02-22|5916|13424|8510|23539|15214|11234|13114|9494|7002|8888|4055|53914
2016-02-23|5756|13359|9835|23547|15691|10783|14528|11487|6929|9101|4338|55223
2016-02-24|6183|14726|9599|23059|15607|11309|15293|11420|7883|9600|4589|56920
2016-02-25|6379|15163|9091|24595|15921|10781|15772|15519|8566|9535|4785|58726
2016-02-26|8275|20482|12291|31498|19758|14209|20305|19738|9583|11722|6083|73477
2016-02-27|10819|30417|18987|42878|30474|20918|29729|23639|15596|20541|10461|114374
2016-02-28|6008|15196|11194|24364|16026|11501|15214|13249|6933|9540|7078|59768
2016-02-29|6417|15045|8416|19504|15525|11823|12821|10648|7159|8938|4222|52464
2016-03-01|6225|13312|8362|20005|14684|12518|13697|8090|6777|8465|4271|51984
2016-03-02|6500|16008|9235|22561|17126|13781|14688|10873|7231|9788|4590|58280
2016-03-03|6272|15831|10242|23111|17744|13647|16653|10617|8477|10680|5143|62182
2016-03-04|7558|19437|11332|22654|19451|16976|17207|12462|9111|11711|6609|68151
2016-03-05|10436|33892|20233|46028|35352|25587|32625|20443|17708|24389|11412|129628
