Bar Prague|barprague
Barbican Centre|BarbicanCentre
Bernie Grant Arts Centre|BernieGrantArts
Bottega Prelibato|BPrelibato
Copeland Park & Bussey Building|IanStGraham
Institute Of Contemporary Arts|ICALondon
Village Underground|VUndergroundNYC
Asda|Georgeatasda
Asda Barking Superstore|AsdaBarking
Asda Harlow Superstore|AsdaHarlow
Asda Old Kent Road Superstore|AsdaOldKentRoad
BB's Coffee & Muffins|BBs_Coffee
Belle Epoque Patisserie|BelleEpoqueCake
Ben's Cookies|
Crepeaffaire|Crepeaffaire
Franze & Evans|franzeandevans
GAIL's Artisan Bakery|
GAIL's Artisan Bakery|
Krispy Kreme|krispykremeUK
Le Pain Quotidien|LePainQuotidien
Le Pont de la Tour|lepontdelatour
Lilys Indulgence|
Lyric Hammersmith|LyricHammer
Maison Fraise Patisserie|lemaisonfraise
Only Eggless Cakes / Eggfree Cakes|onlyeggless
Ottolenghi|ottolenghi
Patisserie Valerie|valeriecafe
Patisserie Valerie|valeriecafe
Patisserie Valerie|valeriecafe
Patisserie Valerie|valeriecafe
Patisserie Valerie|valeriecafe
PAUL Fleet Street|
PAUL Gloucester Road|PGloucester15
PAUL Holland Park|PaulPEholland
Paul Rhodes Bakery, Inc|PaulRhodesLDN
PAUL Richmond|
Peggy Porschen Cakes Ltd|peggyporschen
Pooja Sweets & Savouries kingsbury ltd|poojasweets
R Chocolate London|RChocolateLDN
Seoul Bakery|SeoulFoodBakery
The Good Food Co.|thegoodfoodcouk
The Hummingbird Bakery|
The Hummingbird Bakery|
The Hummingbird Bakery - Spitalfields|HBBSpitalfields
The Pantry|thestreetpantry
Uppercrust|UpperCrust
Violet|
2 Veneti|2Veneti
333 Mother Bar|333mother
54 Boutique Hotel|54BoutiqueHotel
Academy|royalacademy
Albion - Flaming Grill|Albion_London
Amba Hotel Charing Cross|CharingCrossLDN
Amba Hotel Marble Arch|amba_hotels
Angel|
Angerstein Hotel|AngersteinHotel
Apex City of London Hotel|PeakCity
Apex London Wall Hotel|ApexLondon
Apex Temple Court Hotel|BodyTempleFit
Artigiano|artigiano_NOS
ASPACE - Chiswick|aspaceforkids
Asteras Restaurant|
Avenue Bar & Lounge|AvenueBarLounge
Bakers Arms|
Balfour Restaurant|BBalfour_Oatts
Bar 101|
Barrio Shoreditch|
Barts|BartsLondon
Bavarian Beerhouse Old Street|BavarianBeerUK
Beach Blanket Babylon Notting Hill|Beach_Blanket
Beaconsfield Hotel|ChequersWooburn
Beefeater Red House|redlionbispham
Bengal Lancer|
Best Western London Highbury|
Best Western PREMIER Shaftesbury Kensington Hotel|
Big Chill Bar|BigChillBar
Big Chill House|BigChillHouse
Bingham|laurabingham93
Black Horse|
blagclub Notting Hill Gate|
Blue Ginger|blueginger007
Blue Room|BlueRoomForums
Blueberry Bar|BlueberryLDN
Boisdale of Canary Wharf|boisdaleCW
Boulevard Brasserie|BoulevardWC2
Breakspear Arms|
Brewers Fayre Rising Sun|
Brewers Fayre Royal Forest|
Brook Green Hotel|BrookGreenHotel
C̫te Brasserie|
Callooh Callay|Callooh_callay
Carnaby Zebrano|CarnabyLondon
Carpenters Arms|CarpentersArms1
Cart & Horses|cartnhorsesE15
Catcher in the Rye|
Century|britishlibrary
Chamberlain Hotel London|ChamberlainEC3
Champers Bar|ChampersBar
Charlotte's Bistro|PewterRoseCLT
Chinese Overseas Restaurant & Take Away|ChineseOverseas
Circle Lounge|CircleLoungeHX1
Clayton Crown Hotel|claytoncrown
Clayton Hotel Chiswick|claytonchiswick
Coach & Horses Hotel|
Cock Inn|CockInnRingmer
Cock Tavern|CockTavern
Comedor Grill and Bar|ComedorGrillBar
COMO Metropolitan London|metlondon
COMO The Halkin, London|AmetsaArzak
Core Bar|CoreBarLondon
Courthouse Hotel|HotelCourthouse
Cricketers|
Dalla Terra|DallaTerra
Dalston Superstore|dsuperstore
Dama de Elche|
Diamonds & Strings Strip Club & Bar|DiamondsStrings
Drapers Bar & Kitchen|
Duke of Wellington|TheDukeOfWelly
